GOLEN,ROADSECT_ID,PERIOD,GOCOUNT,TIME,GOTIME
3635.9656,145314,1,36,"2018-04-06 00:00:00",494.9904
2534.2466,145315,1,18,"2018-04-06 00:00:00",246.3152
743.2366,145316,1,4,"2018-04-06 00:00:00",51.3504
3777.0553,145317,1,21,"2018-04-06 00:00:00",338.4398
1397.5946,145318,1,12,"2018-04-06 00:00:00",160.6208
2684.3298,145319,1,23,"2018-04-06 00:00:00",193.6619
2406.3516,145320,1,19,"2018-04-06 00:00:00",227.2344
1224.6621,145321,1,12,"2018-04-06 00:00:00",95.9414
489.5469,145322,1,7,"2018-04-06 00:00:00",93.3163
2337.2186,145323,1,17,"2018-04-06 00:00:00",226.3767
143.9035,145324,1,1,"2018-04-06 00:00:00",8.9679
138.7743,145325,1,5,"2018-04-06 00:00:00",56.4692
3249.6693,145326,1,20,"2018-04-06 00:00:00",306.9363
2220.3697,145327,1,16,"2018-04-06 00:00:00",195.2732
832.4161,145328,1,9,"2018-04-06 00:00:00",102.2126
1866.6634,145329,1,11,"2018-04-06 00:00:00",197.3413
5727.0184,147308,1,48,"2018-04-06 00:00:00",542.9122
1309.6096,147309,1,18,"2018-04-06 00:00:00",179.9043
1921.1799,147312,1,11,"2018-04-06 00:00:00",128.057
2061.7896,147401,1,8,"2018-04-06 00:00:00",121.1722
1276.3913,147404,1,17,"2018-04-06 00:00:00",247.9852
3789.1155,147405,1,39,"2018-04-06 00:00:00",440.1508
3015.179,147406,1,26,"2018-04-06 00:00:00",262.5196
1312.249,147407,1,12,"2018-04-06 00:00:00",106.2088
3135.7007,147408,1,17,"2018-04-06 00:00:00",174.2347
1411.0208,147409,1,13,"2018-04-06 00:00:00",95.7509
1866.9346,148302,1,8,"2018-04-06 00:00:00",308.1012
392.7243,148304,1,3,"2018-04-06 00:00:00",58.0917
811.4092,148305,1,8,"2018-04-06 00:00:00",89.3505
857.7097,148306,1,10,"2018-04-06 00:00:00",155.3964
1119.8512,148307,1,16,"2018-04-06 00:00:00",138.5309
648.1872,148308,1,10,"2018-04-06 00:00:00",150.5668
374.8797,140201,1,5,"2018-04-06 00:00:00",42.1996
1192.2756,140202,1,12,"2018-04-06 00:00:00",179.4875
623.1641,140203,1,3,"2018-04-06 00:00:00",73.4898
390.1942,140204,1,7,"2018-04-06 00:00:00",63.5756
94.1217,140205,1,2,"2018-04-06 00:00:00",10.6047
960.2367,140208,1,13,"2018-04-06 00:00:00",106.2956
522.9456,141304,1,4,"2018-04-06 00:00:00",42.4398
537.3067,141305,1,4,"2018-04-06 00:00:00",71.5588
168.1033,141307,1,3,"2018-04-06 00:00:00",14.235
684.6196,141401,1,14,"2018-04-06 00:00:00",54.5851
2459.7284,141402,1,31,"2018-04-06 00:00:00",334.5824
2259.9015,141403,1,12,"2018-04-06 00:00:00",234.5574
1135.3528,141404,1,8,"2018-04-06 00:00:00",142.2202
1137.9538,141405,1,10,"2018-04-06 00:00:00",150.9912
1079.283,141406,1,13,"2018-04-06 00:00:00",100.7299
1355.1502,141407,1,6,"2018-04-06 00:00:00",166.0909
5743.9862,142301,1,15,"2018-04-06 00:00:00",430.2724
