GOLEN,ROADSECT_ID,PERIOD,GOCOUNT,TIME,GOTIME
641.167,335401,171,5,2018-04-06 00:00:00,56.4646
4849.2117,335402,171,31,2018-04-06 00:00:00,474.4901
3176.9785,335403,171,30,2018-04-06 00:00:00,476.7293
1395.468,336301,171,17,2018-04-06 00:00:00,209.4618
525.0981,336402,171,6,2018-04-06 00:00:00,88.5626
2192.0873,337101,171,25,2018-04-06 00:00:00,209.9075
1736.1203,337201,171,18,2018-04-06 00:00:00,157.1209
93.1211,344101,171,1,2018-04-06 00:00:00,24.1983
334.4427,344201,171,2,2018-04-06 00:00:00,265.0
1445.5273,345301,171,12,2018-04-06 00:00:00,180.2747
1601.8533,345401,171,15,2018-04-06 00:00:00,130.0
1226.0918,347101,171,9,2018-04-06 00:00:00,238.4758
412.389,347201,171,5,2018-04-06 00:00:00,79.8215
1273.8027,348101,171,9,2018-04-06 00:00:00,258.7512
1863.6341,348102,171,24,2018-04-06 00:00:00,289.9499
882.3803,348201,171,12,2018-04-06 00:00:00,213.1007
28.9624,348202,171,2,2018-04-06 00:00:00,7.6751
769.5518,349101,171,10,2018-04-06 00:00:00,171.9361
166.1595,349102,171,1,2018-04-06 00:00:00,59.3324
62.432,349103,171,1,2018-04-06 00:00:00,4.6687
712.5449,349201,171,8,2018-04-06 00:00:00,167.8919
170.673,349202,171,1,2018-04-06 00:00:00,21.7268
498.8272,349203,171,6,2018-04-06 00:00:00,70.8941
4179.9988,350101,171,39,2018-04-06 00:00:00,639.409
1512.3919,350102,171,21,2018-04-06 00:00:00,170.1757
1767.4172,350103,171,8,2018-04-06 00:00:00,143.5218
1791.3071,350104,171,15,2018-04-06 00:00:00,157.6945
836.786,350201,171,10,2018-04-06 00:00:00,189.0055
737.6774,350202,171,5,2018-04-06 00:00:00,286.0924
5.8603,350203,171,1,2018-04-06 00:00:00,0.8488
3045.4552,350204,171,34,2018-04-06 00:00:00,561.8162
368.6999,351101,171,5,2018-04-06 00:00:00,44.7602
1491.2548,352101,171,15,2018-04-06 00:00:00,313.6427
448.514,352201,171,4,2018-04-06 00:00:00,100.5394
5671.3178,354101,171,37,2018-04-06 00:00:00,563.6877
839.0745,354102,171,8,2018-04-06 00:00:00,109.8793
1032.2642,354201,171,10,2018-04-06 00:00:00,165.4704
3132.5044,354202,171,13,2018-04-06 00:00:00,316.186
538.9007,355101,171,4,2018-04-06 00:00:00,73.7985
509.932,355201,171,6,2018-04-06 00:00:00,169.7329
555.2985,356101,171,6,2018-04-06 00:00:00,48.75
529.2919,356102,171,7,2018-04-06 00:00:00,59.063
1700.2949,356103,171,23,2018-04-06 00:00:00,203.62
523.9364,356201,171,6,2018-04-06 00:00:00,80.1736
392.8113,356203,171,8,2018-04-06 00:00:00,32.1819
709.8261,357102,171,10,2018-04-06 00:00:00,306.0821
2008.2481,357103,171,34,2018-04-06 00:00:00,528.9544
2065.4949,357201,171,32,2018-04-06 00:00:00,388.5071
378.9655,357202,171,3,2018-04-06 00:00:00,63.2411
607.3274,357203,171,7,2018-04-06 00:00:00,100.258
315.0931,358101,171,2,2018-04-06 00:00:00,38.242
1273.288,359101,171,26,2018-04-06 00:00:00,311.1111
1722.9016,359102,171,31,2018-04-06 00:00:00,349.8238
2079.0046,359103,171,22,2018-04-06 00:00:00,343.7635
1079.1654,359104,171,9,2018-04-06 00:00:00,109.8741
968.6571,359201,171,12,2018-04-06 00:00:00,130.7183
1666.1693,359202,171,14,2018-04-06 00:00:00,174.004
1068.1485,333302,171,10,2018-04-06 00:00:00,183.2952
1288.7977,333303,171,15,2018-04-06 00:00:00,154.5994
2181.5781,333304,171,17,2018-04-06 00:00:00,199.1838
92.3174,333401,171,1,2018-04-06 00:00:00,34.7348
2818.4152,333402,171,24,2018-04-06 00:00:00,547.9891
2975.5471,333403,171,32,2018-04-06 00:00:00,306.6822
1683.0488,333404,171,14,2018-04-06 00:00:00,132.2646
1808.6782,334101,171,13,2018-04-06 00:00:00,233.3645
1215.6362,334102,171,11,2018-04-06 00:00:00,136.2763
723.6531,334201,171,7,2018-04-06 00:00:00,87.481
604.4521,334202,171,5,2018-04-06 00:00:00,187.4995
1887.5424,335301,171,28,2018-04-06 00:00:00,196.1609
6058.3133,335302,171,59,2018-04-06 00:00:00,846.1776
2335.3209,335303,171,20,2018-04-06 00:00:00,303.971
326.6844,362102,171,3,2018-04-06 00:00:00,214.9407
649.2593,362103,171,12,2018-04-06 00:00:00,91.3735
779.0152,362104,171,6,2018-04-06 00:00:00,80.1176
831.0453,362201,171,10,2018-04-06 00:00:00,136.9324
575.2967,362202,171,8,2018-04-06 00:00:00,56.1523
589.0428,362203,171,7,2018-04-06 00:00:00,75.95
588.4581,362204,171,6,2018-04-06 00:00:00,62.9039
451.2031,363301,171,10,2018-04-06 00:00:00,128.1521
